_id	budget	country	genres	imdb_score	metascore	opening_usa	production_companies	release_date	title	usa_gross	worldwide_gross
5af5ed309a5d8daabb72b923	4000000	Ireland	['Comedy', 'Drama']	6.3	55.0	1361.0	['Fastnet Films', 'Anagram', 'Film i Väst', 'Irish Film Board']	2013-07-19	Life's a Breeze	3450	
5af5ed309a5d8daabb72b92e	55000000	USA	['Animation', 'Adventure', 'Comedy', 'Family']	5.9	38.0	15805237.0	['Reel FX Creative Studios', 'Relativity Media']	2013-11-01	Free Birds	55750480	110387072.0
5af5ed309a5d8daabb72b92f	5000000	USA	['Drama']	5.4	50.0	7143.0	['Picture Entertainment', 'RabbitBandini Productions']	2013-10-22	As I Lay Dying	15009	
5af5ed309a5d8daabb72b935	20000000	UK	['Action', 'Crime', 'Drama', 'Thriller']	6.2	43.0	19768.0	['Lionsgate', 'IM Global', 'Shoebox Films', 'Hummingbird Film Investments', 'Longhouse Media']	2013-06-28	Redemption	34956	
5af5ed309a5d8daabb72b942	450000000	India	['Action', 'Comedy', 'Musical', 'Romance']	5.4		847132.0	"['Eros Entertainment', 'Nadiadwala Grandson Entertainment', ""Nadiadwala Grandsons' (I)""]"	2012-04-05	Housefull 2	1503059	
5af5ed309a5d8daabb72b984	8000000	UK	['Adventure', 'Drama', 'Thriller', 'War']	6.6	39.0	4100.0	['Bedlam Productions', 'Far Films', 'H.W. Buffalo & Co']	2013-09-20	Zaytoun	42286	
5af5ed309a5d8daabb72b9a4	300000000	India	['Action', 'Comedy']	3.9		113592.0	['Ajay Devgn Ffilms', 'Viacom18 Motion Pictures']	2012-11-13	Son of Sardaar	713754	
5af5ed309a5d8daabb72ba10	10000000	USA	['Comedy']	4.0	31.0	3259.0	['Crazy Eyes', 'Susan Johnston Casting']	2012-03-11	Crazy Eyes	6106	
5af5ed309a5d8daabb72ba1d	450000000	India	['Action', 'Comedy']	5.8		381784.0	['SLB Films Pvt. Ltd.', 'UTV Motion Pictures']	2012-06-01	Rowdy Rathore	775981	
5af5ed309a5d8daabb72ba2b	90000000	USA	['Adventure', 'Family', 'Fantasy', 'Thriller']	5.9	39.0	14401054.0	['Fox 2000 Pictures', 'TSG Entertainment', 'Sunswept Entertainment', '1492 Pictures']	2013-08-07	Percy Jackson: Sea of Monsters	68559554	199850315.0
5af5ed309a5d8daabb72ba2c	84000000	USA	['Action', 'Comedy', 'Crime', 'Thriller']	6.7	47.0	18048422.0	['Summit Entertainment', 'Di Bonaventura Pictures', 'DC Entertainment', 'Etalon Film', 'NeoReel', 'Saints LA']	2013-07-19	RED 2	53262560	148075565.0
5af5ed309a5d8daabb72ba2d	50000000	Germany	['Action', 'Fantasy', 'Horror']	6.1	23.0	19690956.0	['Paramount Pictures', 'Metro-Goldwyn-Mayer (MGM)', 'MTV Films', 'Gary Sanchez Productions', 'Studio Babelsberg', 'Deutscher Filmförderfonds (DFFF)']	2013-01-25	Hansel & Gretel: Witch Hunters	55703475	226349749.0
5af5ed309a5d8daabb72ba2e	5000000	USA	['Biography', 'Drama']	8.0	84.0	260865.0	['Truth Entertainment (II)', 'Voltage Pictures', 'r2 films', 'Evolution Independent', 'CE', 'RainMaker Films']	2013-11-22	Dallas Buyers Club	27298285	55198285.0
